wavelength_um,emissivity_d0.5um,emissivity_d5um,emissivity_d20um,emissivity_d50um,emissivity_d100um,emissivity_d200um
16.450000,0.009117,0.063151,0.216684,0.471901,0.699205,0.902534
16.500000,0.009215,0.063708,0.219043,0.472449,0.703367,0.904326
16.550000,0.009324,0.064335,0.221684,0.473533,0.709605,0.904124
16.600000,0.009443,0.065030,0.224606,0.475246,0.717532,0.903454
16.650000,0.009573,0.065794,0.227805,0.477665,0.726581,0.904010
16.700000,0.009713,0.066626,0.231281,0.480848,0.736083,0.906689
16.750000,0.009864,0.067529,0.235031,0.484835,0.745358,0.911200
16.800000,0.010026,0.068500,0.239052,0.489649,0.753823,0.916349
16.850000,0.010198,0.069541,0.243344,0.495293,0.761074,0.920759
16.900000,0.010382,0.070652,0.247903,0.501756,0.766945,0.923610
16.950000,0.010577,0.071834,0.252725,0.509007,0.771522,0.925008
17.000000,0.010783,0.073086,0.257808,0.517001,0.775101,0.925793
17.050000,0.011000,0.074409,0.263145,0.525679,0.778117,0.926985
17.100000,0.011229,0.075802,0.268733,0.534967,0.781062,0.929237
17.150000,0.011469,0.077267,0.274563,0.544780,0.784396,0.932572
17.200000,0.011721,0.078801,0.280628,0.555025,0.788487,0.936469
17.250000,0.011984,0.080404,0.286920,0.565599,0.793574,0.940195
17.300000,0.012258,0.082077,0.293427,0.576397,0.799747,0.943178
17.350000,0.012544,0.083816,0.300138,0.587313,0.806953,0.945244
17.400000,0.012841,0.085622,0.307039,0.598241,0.815020,0.946623
17.450000,0.013148,0.087491,0.314117,0.609083,0.823683,0.947758
17.500000,0.013467,0.089422,0.321356,0.619750,0.832624,0.949066
17.550000,0.013795,0.091412,0.328738,0.630163,0.841514,0.950756
17.600000,0.014133,0.093458,0.336247,0.640257,0.850050,0.952786
17.650000,0.014481,0.095557,0.343865,0.649985,0.857988,0.954936
17.700000,0.014838,0.097707,0.351573,0.659313,0.865163,0.956938
17.750000,0.015203,0.099903,0.359354,0.668223,0.871503,0.958596
17.800000,0.015577,0.102143,0.367192,0.676714,0.877018,0.959850
17.850000,0.015958,0.104424,0.375070,0.684798,0.881794,0.960766
17.900000,0.016347,0.106745,0.382975,0.692497,0.885963,0.961485
17.950000,0.016743,0.109102,0.390896,0.699846,0.889687,0.962152
18.000000,0.017147,0.111497,0.398825,0.706886,0.893132,0.962864
18.050000,0.017558,0.113929,0.406756,0.713664,0.896450,0.963648
18.100000,0.017976,0.116399,0.414687,0.720231,0.899765,0.964473
18.150000,0.018403,0.118910,0.422619,0.726642,0.903168,0.965276
18.200000,0.018838,0.121465,0.430557,0.732948,0.906711,0.965996
18.250000,0.019282,0.124070,0.438508,0.739203,0.910410,0.966594
18.300000,0.019738,0.126730,0.446483,0.745457,0.914249,0.967066
18.350000,0.020205,0.129453,0.454494,0.751753,0.918187,0.967431
18.400000,0.020685,0.132245,0.462555,0.758134,0.922165,0.967727
18.450000,0.021180,0.135116,0.470680,0.764631,0.926115,0.967988
18.500000,0.021691,0.138074,0.478886,0.771272,0.929967,0.968240
